MESSAGE,THEME,USER NAME,SENTIMENT,TYPE POST,TYPE USER,SERVICE,OBJECT NAME
"HỖ TRỢ VAY MUA XE TRẢ GÓP
FREE - Hà Nội

Hỗ trợ trả góp tối đa tới 90% giá trị xe :
Cá nhân : 
- Hỗ trợ 90% giá trị xe đối với xe mới .
- Thời gian vay tối đa 84 tháng
-Doanh nghiệp :
- Hỗ trợ tối đa 82% giá trị hợp đồng
- Thời gian vay tối đa 84 tháng.
-",1,Nguyễn Hữu Miền,NEUTRAL,POST,Personal Page/Group,Personal Loan,SACOMBANK
Rút tiền về nhà nha mấy đứa ... · Biến Sacombank chăng ?,2,A Tuân Ca Sĩ,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Ứng cử ghế TGĐ SeaBank... mau nhanh chân...Cơ hội cho bạn SeAbank khuyết tổng giám đốc, Sacombank có thêm lãnh đạo mới - Tuổi Trẻ Online TTO - Sacombank, với mục tiêu 1.000 tỷ đồng lợi nhuận năm 2017, vừa có thêm một phó tổng giám đốc trong khi Tổng giá",2,Abs Dang,NEUTRAL,POST,Personal,H.R,SACOMBANK
"· Có Bạn nào muốn ghế nào không.... tự ứng cử luôn nha.... Sacombank tiếp tục thay đổi nhân sự cấp cao - Tuổi Trẻ Online TTO - Những chiếc ghế nóng HĐQT của Sacombank đã có chủ, và ngân hàng này đang sắp xếp lại nhân sự trong quá trình tái cơ cấu dưới thờ",2,Abs Dang,NEGATIVE,POST,Personal,H.R,SACOMBANK
"DANH SÁCH NGÂN HÀNG CHẤP NHẬN Thẻ ATM của Agribank.

Thẻ ATM là 1 trong những công cụ rất hữu ích để rút tiền, gửi tiền và thanh toán ở nhiều địa điểm khác nhau, tuy nhiên không ít người có suy nghĩ rằng thẻ ATM ngân hàng Agribank thì chỉ rút được ở ngân ",4,Agribank Cẩm Mỹ - Đồng Nai,NEUTRAL,POST,Page,Account Activity,SACOMBANK
"Ai co tien gũi ngan hang thi coi ma rút nha Click for more Posted by 77,379 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Ahoanh Tham Mỹ,NEGATIVE,POST,Personal,Management,SACOMBANK
"rút tiền về thôi Click for more Posted by 80,735 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Ai Bao,NEGATIVE,POST,Personal,Management,SACOMBANK
"· $1 Thành phố Hồ Chí Minh VÉ MÁY BAY GIÁ RẺ HÀNH TRÌNH HCM - SINGAPORE - HCM CÓ VÉ MỌI THỜI ĐIỂM VÀ NHẬN ĐỔI TIỀN ĐÔ SING LẤY VND HOẶC VND LẤY ĐÔ SING. TỶ GIÁ THEO THỜI ĐIỂM CỦA VIETCOMBANK, NHẬN GIAO DỊCH IBANKING VND TẤT CẢ NGÂN HÀNG Ở VIETNAM . Hoặc k",3,Ái Lê,NEUTRAL,POST,Personal,Account Activity,SACOMBANK
"Nguyễn Mỹ Linh bùng nổ sacom Click for more Posted by 459,004 Views Pavel Thao · ""Ông Trầm Bê đâu?""",2,Ai Lien Pham,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Quà Hè Bất Tận - Đón Siêu Phẩm Mới Giá Ngon  DUY NHẤT CHỈ CÓ TẠI FPT SHOP 163 Trần phú, Thị Xã An nhơn ( Shop nằm ngay Ngã Tư Chợ Bình Định) -\-\-\-\-\-\- Samsung Galaxy S8/S8+ Giảm Đến 4.000.000đ-\-\-\-\-\-\ *** Thời gian từ 14.7 đến 21.7 *** Giảm ngay",3,Ai Nguyen,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"1 ong làm chẳng nên non, 3 ông chụm lại tan hoang ngân hàng. Ai goi tien tiet kiem Sacombank xem di nha Click for more Posted by 1,183,864 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Aivi Nguyen,NEGATIVE,POST,Personal,Management,SACOMBANK
