MESSAGE,THEME,SENTIMENT,USER NAME,TYPE POST,TYPE USER,SERVICE,OBJECT NAME
- dạ AD cho e hỏi cách đăng ký vietcombank sử dụng máy tính công cộng là đăng ký chổ nào ạ >< :D 😘,2,NEUTRAL,Lê Phan Anh Quốc,COMMENT,Personal Page/Group,Personal Internet Banking,VIETCOMBANK
"· Đè bẹp luôn cả vietcombank mất rồi TPBank tăng gần 1.000 nhân sự trong vòng 1 năm, tín dụng quý 2/2017 tăng trưởng ""thần kỳ"" Trong quý 2/2017, TPBank đã dành gần 1/3 lợi nhuận làm ra để trích lập dự phòng rủi ro. Đáng chú ý, hoạt động cho vay của nhà bă",3,NEUTRAL,Alm Pham,POST,Personal,Management,VIETCOMBANK
Tao chỉ thích anh Vietcombank nt cho t vào mỗi buổi sáng thôi. A lương nữa... Blog Tâm Sự · Sớm ra đã muốn ai nhắn tin cho mình rồi nè,4,NEUTRAL,An An,POST,Personal,No service,VIETCOMBANK
· Ngân hàng thương mại cổ phần Ngoại thương Việt Nam - Vietcombank Ngân hàng thương mại cổ phần Ngoại thương Việt Nam - Vietcombank www.vietcombank.com.vn,1,NEUTRAL,An Bảo,POST,Personal,No service,VIETCOMBANK
"#VietABank tuyển dụng vị trí Chuyên viên Thanh toán quốc tế 

YÊU CẦU:

✅ Tốt nghiệp Đại học ngành: Kinh tế, Tài Chính, Ngân hàng, Ngoại thương, Quản Trị Kinh Doanh.
✅ Kinh nghiệm: 02 năm thanh toán quốc tế tại công ty XNK, 01 năm tại các ngân hàng.
✅ Sử",3,NEUTRAL,Vietnam Bankers,POST,Page,H.R,VIETCOMBANK
"(F319)         DỄ DÀNG VƯỢT 770 THỊ TRƯỜNG SẼ THĂNG HOA BÙNG NỔ LÊN LẠI ĐỈNH 784    

Blue chip sau khi điều chỉnh về giá hấp dẫn đã tăng mạnh trở lại giúp thị trường tăng điểm 2 phiên. GAS, VNM, VCB, CTG, BID, PLX , BVH ....   sẽ làm đầu tàu kéo thị trườ",3,NEUTRAL,F319 Chứng Khoán,POST,Page,Financial Activity,VIETCOMBANK
"(F319)         HẠN CHẾ GIẢI NÂNG, CHỜ ĐỢI SỰ TÍCH CỰC    

I.Nhận định thị trường: ·Kết thúc tuần giao dịch nhiều sóng gió, VN-index giảm mạnh còn 761.86 điểm ( -15.74 điểm). Thị trường tiếp tục một tuần giao dịch với nhiều diễn biến tiêu cực. Lực cầu suy",3,NEUTRAL,F319 Chứng Khoán,POST,Page,Financial Activity,VIETCOMBANK
"(F319)         THỊ TRƯỜNG NGÀY 25/7    

TÌNH HÌNH GIAO DỊCH PHIÊN 24/07  Đóng cửa phiên giao dịch, chỉ số Vn-Index giảm 2,12 điểm (0,28%) xuống 759,74 điểm; Hnx-Index giảm 1,03 điểm (1,05%) xuống 96,93 điểm.Thanh khoản trên toàn thị trường đạt 223 triệu ",3,NEUTRAL,F319 Chứng Khoán,POST,Page,Financial Activity,VIETCOMBANK
"(F319)         VCB CẦN THOÁI 42.5 TRIỆU CỔ PHIẾU MBB, GIÁ NÀO CHO VCB?    

http://cafef.vn/giam-so-huu-cheo-cac-to-chuc-tin-dung-chi-dao-thoi-la-chua-du-20170729091729038.chn Khà khà  Con hàng nặng mông VCB chuẩn bị phi rồi.  VCB cần bán khoảng 42.5 triệ",3,NEUTRAL,F319 Chứng Khoán,POST,Page,Financial Activity,VIETCOMBANK
· ace nào sành về thẻ atm mà vietcombank còn thức không cho tôi hỏi 1 tị cái gấp gấp pls bị nhuốt nhiều lần cay lắm rồi,2,NEGATIVE,Tạ Quân,POST,Personal,Account Activity,VIETCOMBANK
