emoji,name
>-),alien
O:),angel
O:),angel
O:-),angel
X(,angryorgrumpy
>:-(,angryorgrumpy
>:(,angryorgrumpy
X-(,angryorgrumpy
:42:,answertoeverything
=D>,applause
0-+,april
~X(,atwitsend
;;),battingeyelashes
b-(,beatup
:bz,bee
:D,biggrin
:D,biggrin
:-D,biggrin
:-D,biggrin
:D,biggrin
>:D<,bighug
o=>,billy
"="">",blushing
>:/,bringiton
=((,brokenheart
</3,brokenheart
=:),bug
:-c,callme
:-@,chatterbox
~:>,chicken
:putnam:,chrisputnam
:O),clown
:-/,confused
O.o,confused
:-??,confusedoridon'tknow
:-/,confusedorperplexed
:-\,confusedorundecided
:\,confusedorundecided
:/,confusedorunsure
3:-O,cow
+/'\,cowbell
<):),cowboy
V.v.V,crab
:((,crying
:'(,crying
:'(,crying
~o),cupofcoffee
\:D/,dancing
8->,daydreaming
>:),devil
3:),devil
3:-),devil
}:-),devil
:-$,donottellanyone
:o3,dog
#-o,doh!
=P~,drooling
:-L,frustrated
:P,frustratedorstickingtongueout
=P,frustratedorstickingtongueout
:-P,frustratedorstickingtongueout
:P,frustratedorstickingtongueout
:-P,frustratedorstickingtongueout
:P,frustratedorstickingtongueout
;)),giggleorheehee
8-),glasses
8),glasses
B-),glasses
B),glasses
%%-,goodluckorfourleafclover
<3,heart
< 3,heart
<3,heart
o->,hiro
:-/,hmmm
:!!,hurryup
@-),hypnotized
XX,idonotwanttosee
*-:),idea
:-|,indifferent
^#(^,itwasnotme
:-*,kiss
:-*,kiss
:*,kiss
:-X,kiss
:-*,kiss
:*,kiss
:3,kitty
:)),laughing
:^o,liarliar
(Y),like
L-),loser
:x,lovestruck
$-),moneyeyes
:(|),monkey
:(|),monkey
:{,mustache
:-SS,nailbiting
:-B,nerd
%-(,notlistening
[-(,nottalking
^:)^,notworthy
:-j,ohgoon
:)],onthephone
^^,overjoyed
:v,pacman
<:-P,party
:)>-,peace
"<("")",penguin
>:P,phbbbbtorupset
:@),pig
:(:),pig
:ar!,pirate
~@~,poop
[-o<,praying
(~~),pumpkin
/:),raisedeyebrow
:|],robot
[:|],robot
\m/,rocking
\m/,rocking
8-|,rollingeyes
=)),rollingonthefloorlaughing
= )),rollingonthefloorlaughing
@};-,rose
:(,sadorfrownface
: (,sadorfrownface
=(,sadorfrownface
= (,sadorfrownface
:-(,sadorfrownface
:(,sadorfrownface
:[,sadorfrownface
:(,sadorfrownface
[-x,shameonyou
(^^^),shark
:-o,shocked
:-&,sick
:-<,sigh
8-},silly
8-X,skull
|-),sleepy
:),smileorhappyface
=),smileorhappyface
:-),smileorhappyface
:),smileorhappyface
:],smileorhappyface
=),smileorhappyface
:-),smileorhappyface
:),smileorhappyface
:>,smug
--,squinting
-_-,squinting
(*),star
:|,straightface
B-),sunglassesorcool
8-|,sunglassesorcool
8|,sunglassesorcool
8 |,sunglassesorcool
B-|,sunglassesorcool
B|,sunglassesorcool
B-),sunglassesorcool
:-O,surprised
:o,surprised
:-O,surprised
:O,surprised
:-o,surprised
=;,talktothehand
:-?,thinking
:-q,thumbsdown
:-bd,thumbsup
(y),thumbsup
( y ),thumbsup
:-t,timeout
[..],transformer
**==,unitedstatesflag
>-:O,upset
>.<,upset
=D,veryhappy
=D,veryhappy
:-w,waiting
:-h,wave
#:-S,whew
":-""",whistling
;^),wink
;),winking
; ),winking
;-),winking
;),winking
;-),winking
;),winking
:-S,worried
(:|,yawn
>:O,yelling
